Date,Last
5/2/2019,0.100858554
5/3/2019,0.099947931
5/4/2019,0.101748063
5/5/2019,0.09871145
5/6/2019,0.09859146
5/7/2019,0.09737829
5/8/2019,0.09437534
5/9/2019,0.09328684
5/10/2019,0.089985379
5/11/2019,0.092068592
5/12/2019,0.104901347
5/13/2019,0.098548687
5/14/2019,0.099991778
5/15/2019,0.113429275
5/16/2019,0.139657263
5/17/2019,0.138109137
5/18/2019,0.129399055
5/19/2019,0.131758003
5/20/2019,0.143033918
5/21/2019,0.135618901
5/22/2019,0.13446905
5/23/2019,0.122820746
5/24/2019,0.124893501
5/25/2019,0.125596078
5/26/2019,0.124837656
5/27/2019,0.132612116
5/28/2019,0.137827771
5/29/2019,0.139191072
5/30/2019,0.136048914
5/31/2019,0.129424755
6/1/2019,0.134190394
6/2/2019,0.132985174
6/3/2019,0.136972753
6/4/2019,0.129194362
6/5/2019,0.120769056
6/6/2019,0.122053693
6/7/2019,0.125679802
6/8/2019,0.12803803
6/9/2019,0.124742424
6/10/2019,0.119031766
6/11/2019,0.123868293
6/12/2019,0.122874991
6/13/2019,0.126706708
6/14/2019,0.124596324
6/15/2019,0.124690333
6/16/2019,0.126421958
6/17/2019,0.128804319
6/18/2019,0.130536143
6/19/2019,0.124564413
6/20/2019,0.124433007
6/21/2019,0.121659999
6/22/2019,0.123039001
6/23/2019,0.129236808
6/24/2019,0.128072385
6/25/2019,0.128240152
6/26/2019,0.124578494
6/27/2019,0.122684506
6/28/2019,0.109289585
6/29/2019,0.111783802
6/30/2019,0.11544991
7/1/2019,0.106137318
7/2/2019,0.106061883
7/3/2019,0.1033574
7/4/2019,0.10557767
7/5/2019,0.100327179
7/6/2019,0.100139591
7/7/2019,0.103085688
7/8/2019,0.105086025
7/9/2019,0.104531034
7/10/2019,0.101592619
7/11/2019,0.09561726
7/12/2019,0.088377176
7/13/2019,0.09865778
7/14/2019,0.096667545
7/15/2019,0.088376629
7/16/2019,0.085292054
7/17/2019,0.079871052
7/18/2019,0.082465611
7/19/2019,0.088617976
7/20/2019,0.092460309
7/21/2019,0.095046223
7/22/2019,0.091241026
7/23/2019,0.089333117
7/24/2019,0.085484389
7/25/2019,0.081519372
7/26/2019,0.085282085
7/27/2019,0.087169616
7/28/2019,0.085075678
7/29/2019,0.083835788
7/30/2019,0.0833678
7/31/2019,0.083284911
8/1/2019,0.083844071
8/2/2019,0.082989983
8/3/2019,0.082329115
8/4/2019,0.082214087
8/5/2019,0.082185196
8/6/2019,0.08243319
8/7/2019,0.079522455
8/8/2019,0.078687318
8/9/2019,0.077313897
8/10/2019,0.0733228
8/11/2019,0.074275907
8/12/2019,0.078053065
8/13/2019,0.076101964
8/14/2019,0.075310957
8/15/2019,0.070272423
8/16/2019,0.070290997
8/17/2019,0.069098055
8/18/2019,0.067844231
8/19/2019,0.069596215
8/20/2019,0.070868997
8/21/2019,0.069825045
8/22/2019,0.068076124
8/23/2019,0.066517513
8/24/2019,0.068751973
8/25/2019,0.06766976
8/26/2019,0.071502616
8/27/2019,0.069995754
8/28/2019,0.068378074
8/29/2019,0.066095693
8/30/2019,0.062266414
8/31/2019,0.062042862
9/1/2019,0.062729739
9/2/2019,0.062166396
9/3/2019,0.062940971
9/4/2019,0.063112487
9/5/2019,0.061867733
9/6/2019,0.060466862
9/7/2019,0.058483004
9/8/2019,0.059250876
9/9/2019,0.060428784
9/10/2019,0.059800734
9/11/2019,0.058750036
9/12/2019,0.059750925
9/13/2019,0.055711525
9/14/2019,0.057110444
9/15/2019,0.057796691
9/16/2019,0.057941545
9/17/2019,0.058696169
9/18/2019,0.061935358
9/19/2019,0.080167586
9/20/2019,0.081733037
9/21/2019,0.074899817
9/22/2019,0.070996912
9/23/2019,0.068669867
9/24/2019,0.063045364
9/25/2019,0.056398985
9/26/2019,0.056150063
9/27/2019,0.058094185
9/28/2019,0.059629839
9/29/2019,0.059622282
9/30/2019,0.057840434
10/1/2019,0.060973119
10/2/2019,0.05971018
10/3/2019,0.05965624
10/4/2019,0.059143289
10/5/2019,0.058655339
10/6/2019,0.058869097
10/7/2019,0.058345979
10/8/2019,0.060914048
10/9/2019,0.061572944
10/10/2019,0.063136575
10/11/2019,0.061926584
10/12/2019,0.06031856
10/13/2019,0.059525627
10/14/2019,0.060054172
10/15/2019,0.064846829
10/16/2019,0.064134539
10/17/2019,0.062174924
10/18/2019,0.064273357
10/19/2019,0.063749426
10/20/2019,0.062875519
10/21/2019,0.063154951
10/22/2019,0.063742478
10/23/2019,0.062678139
10/24/2019,0.06008982
10/25/2019,0.060125187
10/26/2019,0.06344396
10/27/2019,0.062804583
10/28/2019,0.063981672
10/29/2019,0.064542383
10/30/2019,0.065998243
10/31/2019,0.064612103
11/1/2019,0.064722789
11/2/2019,0.068328322
11/3/2019,0.070839139
11/4/2019,0.069041308
11/5/2019,0.074378332
11/6/2019,0.082336614
11/7/2019,0.077813568
11/8/2019,0.074473739
11/9/2019,0.071296923
11/10/2019,0.073118188
11/11/2019,0.07878045
11/12/2019,0.079685341
11/13/2019,0.076701177
11/14/2019,0.076114786
11/15/2019,0.073903427
11/16/2019,0.071848825
11/17/2019,0.071447357
11/18/2019,0.071945976
11/19/2019,0.067267
11/20/2019,0.065358586
11/21/2019,0.064048806
11/22/2019,0.060852223
11/23/2019,0.059824517
11/24/2019,0.06107844
11/25/2019,0.055958492
11/26/2019,0.057476135
11/27/2019,0.05774511
11/28/2019,0.058514219
11/29/2019,0.058165264
11/30/2019,0.059087423
12/1/2019,0.057557713
12/2/2019,0.057364848
12/3/2019,0.055970207
12/4/2019,0.055749629
12/5/2019,0.054861355
12/6/2019,0.055344819
12/7/2019,0.055419449
12/8/2019,0.055401856
12/9/2019,0.055667771
12/10/2019,0.054570648
12/11/2019,0.053108733
